EquipmentId,latitude,longitude,speed,odometer reading,eventDate,eventGeneratedTime
EQPT-4,12.9409083,74.933645,33,753104,1.71623E+12,1.71626E+12
EQPT-4,12.940185,74.9342383,34,753207,1.71623E+12,1.71626E+12
EQPT-4,12.93996,74.93443,38,753239,1.71623E+12,1.71626E+12
EQPT-4,12.9397783,74.934685,43,753274,1.71623E+12,1.71626E+12
EQPT-4,12.9395783,74.9350149,37,753316,1.71623E+12,1.71626E+12
EQPT-4,12.939475,74.9353916,37,753359,1.71623E+12,1.71626E+12
EQPT-4,12.9393916,74.9356783,35,753401,1.71623E+12,1.71626E+12
EQPT-4,12.9392916,74.9358166,33,753410,1.71623E+12,1.71626E+12
EQPT-4,12.9389883,74.9363283,38,753475,1.71623E+12,1.71626E+12
EQPT-4,12.9389666,74.9365333,35,753517,1.71623E+12,1.71626E+12
EQPT-4,12.939035,74.9366966,30,753517,1.71623E+12,1.71626E+12
EQPT-4,12.9390933,74.9367716,30,753527,1.71623E+12,1.71626E+12
EQPT-4,12.9391949,74.9368916,32,753545,1.71623E+12,1.71626E+12
EQPT-4,12.9393333,74.9369383,29,753562,1.71623E+12,1.71626E+12
EQPT-4,12.939465,74.93697,30,753577,1.71623E+12,1.71626E+12
EQPT-4,12.939685,74.9369916,29,753601,1.71623E+12,1.71626E+12
EQPT-4,12.9399066,74.9369916,31,753626,1.71623E+12,1.71626E+12
EQPT-4,12.9402916,74.9368183,35,753673,1.71623E+12,1.71626E+12
EQPT-4,12.9405216,74.9366666,37,753703,1.71623E+12,1.71626E+12
EQPT-4,12.940835,74.9364433,36,753746,1.71623E+12,1.71626E+12
EQPT-4,12.940995,74.9363816,32,753765,1.71623E+12,1.71626E+12
EQPT-4,12.9411533,74.936355,31,753782,1.71623E+12,1.71626E+12
EQPT-4,12.9417366,74.9363333,32,753847,1.71623E+12,1.71626E+12
EQPT-4,12.9419883,74.9363799,32,753885,1.71623E+12,1.71626E+12
EQPT-4,12.94262,74.9365316,34,753949,1.71623E+12,1.71626E+12
EQPT-4,12.9428033,74.9364933,31,753982,1.71623E+12,1.71626E+12
EQPT-4,12.9429,74.93643,36,753982,1.71623E+12,1.71626E+12
EQPT-4,12.9430666,74.9363066,39,754005,1.71623E+12,1.71626E+12
EQPT-4,12.9432333,74.9361333,39,754032,1.71623E+12,1.71626E+12
EQPT-4,12.9437583,74.9353549,44,754135,1.71623E+12,1.71626E+12
EQPT-4,12.944265,74.934575,49,754237,1.71623E+12,1.71626E+12
EQPT-4,12.94481,74.9338183,37,754339,1.71623E+12,1.71626E+12
EQPT-4,12.945025,74.9335283,26,754378,1.71623E+12,1.71626E+12
EQPT-4,12.9452733,74.9332,15,754423,1.71623E+12,1.71626E+12
EQPT-4,12.945315,74.93315,11,754435,1.71623E+12,1.71626E+12
EQPT-4,12.9453566,74.9330933,8,754438,1.71623E+12,1.71626E+12
EQPT-4,12.945385,74.9330566,11,754443,1.71623E+12,1.71626E+12
EQPT-4,12.94545,74.932975,16,754455,1.71623E+12,1.71626E+12
